Well Name,Easting,Northing,MD,TVD,Azimuth,Inclination,Deviation-DownDip,Deviation-UpDip,Deviation-NoDip,Porosity%,Gross Thickness(ft),NTG,Sw(%),TOC %,Comp-Perforated Lateral (ft),Comp-Stimulated Lateral Length (ft),Comp-Clusters per Stage,Comp-Shot Density (shots-ft),Comp-Avg Stage Length(ft),Comp-Number of Stages,Stim-Avg. Tr. Pressure (psi),Stim-Avg. Tr. Rate (bbl-min),Stim-Fluid volume per Stage (bbl),Stim-clean volume per Stage (bbl),Stim-Slurry volume per Stage (bbl),Stim-Maximum propant Conc-(lb-gal),Stim-Proppant per stage(lb),30 Day Cum Gas (MCF),30 Day Cum Condensate (bbls),90 Day Cum Gas (MCF),90 Day Cum Condensate (bbls),120 Day Cum Gas (MCF),120 Day Cum Condensate (bbls),180 Day -Cum Gas (MCF),180 Day -Cum Condensate (bbls)
ISI-028,1685204.254,15934800.96,9845,6562.7,122.5,89.2,1,0,0,10.4,165,0.89,11.1,3.7,2603,2703,3,4,289.2,9,6568,67.2,24285,13660,10625,3,499028,128717,43,379686,622.1,475510,740.93,670326,1059.32
ISI-029,1685827.48,15935577.47,9255,6576,133.1,82.7,1,0,0,10.6,165,0.88,11.9,3.5,2300,2400,3,4,287.5,8,6310,67.7,23829,13399,10430,3,504173,114346,0,372771,531.69,463298,675.4,621795,834.34
ISI-030,1686638.867,15936215.85,9960,6616,128.9,91.6,1,0,0,10.1,166,0.87,12.6,3.6,2583,2683,3,4,287,9,6336,68,24585,13830,10755,3,503901,166093,13,466934,568.81,590512,703.96,807100,886.52
ISI-031,1652688.087,15903925.68,10450,6605,110,91.2,1,0,0,9.3,156,0.92,10,3.3,3198,3298,3,4,290.7,11,6525,66.7,25231,14242,10989,3,491941,196141,3971,479990,8390.7,592412,9984.81,797023,12342.79
ISI-032,1662622.602,15919384.56,10132,6545.9,149.3,89.4,1,0,0,8.6,150,0.94,11.6,2.5,2903,3003,3,4,290.3,10,6374,68.5,24008,13498,10511,3,505614,129807,16,315103,863.35,391801,1455.83,533987,2384.33
ISI-033,1661870.186,15918371.42,11025,6535.2,148,89.2,1,0,0,8.9,152,0.92,11.5,2.7,2903,3003,3,4,290.3,10,5900,69.9,24406,13727,10679,3,502071,116595,18,296593,865.22,382666,1457.7,525097,2265.84
ISI-034,1621767.649,15919985.88,10890,6285.4,130.6,91.5,1,0,0,9.1,119,0.84,12.8,2.6,2903,3003,3,4,290.3,10,6624,56.8,22855,13465,9391,3,507621,47272,2959,107962,7261.95,142698,9285.78,199596,11876.51
ISI-035,1619564.29,15919293.06,8813,6296.7,134.1,89.8,1,0,0,8.7,119,0.82,12.4,2.5,2211,2311,3,4,276.4,8,5916,66.2,22244,13115,9130,3,502735,38976,2494,99219,6772.38,127177,8426.64,176261,10431.29
ISI-036,1619126.109,15916866.02,11505,6301.1,129,91.3,1,0,0,9.2,119,0.83,11.8,2.5,3503,3603,3,4,291.9,12,6686,63.1,21505,12687,8818,3,502065,43679,3296,115337,7575.79,151898,9081.26,245644,12217.07
ISI-037,1675181.456,15921447.29,9932,6600.3,161.4,88.5,1,0,0,8.5,166,0.83,12.9,2.7,2900,3000,3,4,290,10,6092,68.4,23962,13477,10485,3,496632,107353,310,254828,825.69,332974,957.51,465710,1413.7
ISI-038,1675973.858,15922146.05,9910,6623,153.9,90.3,1,0,0,8.7,166,0.82,12.8,2.7,2303,2403,3,4,287.9,8,6385,67.7,21202,11920,9282,3,504315,110712,310,272360,748.11,347505,900.21,477146,1145.13
ISI-039,1674077.735,15921065.53,10497,6621.3,155.3,90.9,1,0,0,8.8,166,0.84,11.3,2.6,2903,3003,3,4,290.3,10,6282,68.8,26650,15019,11632,3,504924,96536,310,246880,741.89,331904,953.4,493389,1256.88
ISI-040,1660223.475,15919870.62,10261,6615.9,145.81,89.17,1,0,0,8.9,145,0.95,11.4,2.8,2997,3097,3,4,374.6,8,5770,67,23629,13401,10228,2,312559,102011,769,262952,1250.15,328389,1429.28,446130,2047.49
